Student_ID,Gender,City,Study_Hours,Attendance_Percent,Math_Score,Science_Score,English_Score,Performance_Level
76,Male,Hyderabad,3.8,72.0,65,68.0,71,Needs Improvement
77,Female,Bengaluru,6.0,89.0,85,88.0,86,Good
78,Female,Kolkata,5.5,86.0,81,84.0,83,Good
79,Male,Jaipur,4.5,75.0,70,73.0,76,Average
80,Female,Ahmedabad,7.8,94.0,91,93.0,90,Excellent
81,Female,Bengaluru,6.5,92.0,88,91.0,87,Excellent
82,Male,Mumbai,4.2,78.0,72,70.0,75,Average
83,Female,Delhi,7.1,96.0,94,96.0,92,Excellent
84,Male,Pune,5.0,84.0,79,82.0,80,Good
85,Female,Chennai,8.2,98.0,96,95.0,94,Excellent
86,Male,Hyderabad,3.8,72.0,65,68.0,71,Needs Improvement
87,Female,Bengaluru,6.0,89.0,85,88.0,86,Good
88,Female,Kolkata,5.5,86.0,81,84.0,83,Good
89,Male,Jaipur,4.5,75.0,70,73.0,76,Average
90,Female,Ahmedabad,7.8,94.0,91,93.0,90,Excellent
91,Female,Bengaluru,6.5,92.0,88,91.0,87,Excellent
92,Male,Mumbai,4.2,78.0,72,70.0,75,Average
93,Female,Delhi,7.1,96.0,94,96.0,92,Excellent
94,Male,Pune,5.0,84.0,79,82.0,80,Good
95,Female,Chennai,8.2,98.0,96,95.0,94,Excellent
96,Male,Hyderabad,3.8,72.0,65,68.0,71,Needs Improvement
97,Female,Bengaluru,6.0,89.0,85,88.0,86,Good
98,Female,Kolkata,5.5,86.0,81,84.0,83,Good
99,Male,Jaipur,4.5,75.0,70,73.0,76,Average
100,Female,Ahmedabad,7.8,94.0,91,93.0,90,Excellent
